2020-12-08 14:25:37  [ main:1175 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-08 14:26:32  [ main:1176 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-09 22:25:51  [ main:1386 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-10 09:22:21  [ main:1165 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-10 09:25:57  [ main:1215 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-10 09:29:39  [ main:1184 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-10 11:33:23  [ main:1474 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-11 14:11:17  [ main:1604 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-13 13:39:05  [ main:1940 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-13 13:39:33  [ main:1777 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-13 13:42:14  [ main:1376 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-21 11:28:37  [ main:1897 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-21 13:22:31  [ main:1802 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-21 13:23:29  [ main:1771 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-21 13:33:20  [ main:2395 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
2020-12-27 16:12:36  [ main:1589 ] - [ ERROR ]  testWhileIdle is true, validationQuery not set
